,Distance,ElapsedTime,ElevationGain,ElevationMax,ElevationMin,HeartRate,MovingTime,Speed,Temp,SpeedDist
2019-04-14 14:23:38-07:00,20090.1,6399,82.0,,,YouWishYouKnew,5809,3.458,14.0,69471.5658
2019-04-13 22:22:10-07:00,19411.2,7416,471.0,,,YouWishYouKnew,7079,2.742,21.0,53225.5104
2019-04-13 13:02:50-07:00,25230.9,8769,464.0,,,YouWishYouKnew,8333,3.028,11.0,76399.1652
2019-04-12 22:28:55-07:00,10892.9,3846,54.0,,,YouWishYouKnew,3037,3.587,25.0,39072.8323
2019-04-12 01:06:27-07:00,10337.7,3349,234.0,,,YouWishYouKnew,3303,3.13,15.0,32357.001
2019-04-10 22:59:08-07:00,24183.8,6876,145.0,,,YouWishYouKnew,6652,3.636,22.0,87932.2968
2019-04-10 02:20:18-07:00,1838.4,596,2.0,,,YouWishYouKnew,596,3.085,17.0,5671.464
2019-04-10 01:42:50-07:00,7465.8,1955,21.0,,,YouWishYouKnew,1955,3.819,16.0,28511.8902
2019-04-10 01:14:08-07:00,4030.8,1397,26.0,,,YouWishYouKnew,1197,3.367,21.0,13571.7036
2019-04-08 20:27:46-07:00,11347.9,3297,184.0,,,YouWishYouKnew,3266,3.475,25.0,39433.9525
